Title,School,Location,Descripion,Language,Type,Style,Read_More,Deadline,Start,Duration
MSc in New Materials and Additive Technologies,Peter the Great St. Petersburg Polytechnic University,"Saint Petersburg, Russia","The outstanding feature of the present program is the modern materials and advanced manufacturing technologies overview. The focus of the program is to accumulate practical sk
                                            ...
                        
                            +
                        



                    Featured
                    



                The outstanding feature of the present program is the modern materials and advanced manufacturing technologies overview. The focus of the program is to accumulate practical skills in material science and engineering, to enrich previous skills with the help of unique equipment and modern analysis methods. The best lecturers of SPbPU will be involved in the educational process. Our students will have opportunity to have practices in different universities and industrial laboratories.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/MSc-in-New-Materials-and-Additive-Technologies/Russia/SPbPU/,01 Aug 2022,01 Sep 2022,2 years
MSc in Laser and Fiber Optic Systems,Peter the Great St. Petersburg Polytechnic University,"Saint Petersburg, Russia","Students are trained to do research and development in the field of laser and fiber optic systems. Skills to carry out research in the field of info-communications and to deve
                                            ...
                        
                            +
                        



                    Featured
                    



                Students are trained to do research and development in the field of laser and fiber optic systems. Skills to carry out research in the field of info-communications and to develop advanced optical communication systems are given. Practical skills are obtained during the research works.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/MSc-in-Laser-and-Fiber-Optic-Systems/Russia/SPbPU/,01 Aug 2022,01 Sep 2022,2 years
MSc in Smart Nanostructures and Condensed Matter Physics,Peter the Great St. Petersburg Polytechnic University,"Saint Petersburg, Russia","The program is tailored to BSc graduates who wish to deepen their knowledge of physics and who are looking to pursue a research career within a university, industrial or resea
                                            ...
                        
                            +
                        



                    Featured
                    



                The program is tailored to BSc graduates who wish to deepen their knowledge of physics and who are looking to pursue a research career within a university, industrial or research laboratory. Along with lecture courses, the program pays great attention to the work of students in research groups working in promising areas of modern physics: nanostructures and nanostructured materials, condensed matter physics, physics of advanced materials possessing unique properties.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/MSc-in-Smart-Nanostructures-and-Condensed-Matter-Physics/Russia/SPbPU/,01 Aug 2022,01 Sep 2022,2 years
MSc in Energy Technology,Peter the Great St. Petersburg Polytechnic University,"Saint Petersburg, Russia","The purpose of the Master of Science in Energy Technology degree program is to prepare highly qualified professionals capable to solve complex engineering and management tasks
                                            ...
                        
                            +
                        



                    Featured
                    



                The purpose of the Master of Science in Energy Technology degree program is to prepare highly qualified professionals capable to solve complex engineering and management tasks in the world energy industry.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/MSc-in-Energy-Technology/Russia/SPbPU/,01 Aug 2022,01 Sep 2022,2 years
MSc in Intelligent Systems,Peter the Great St. Petersburg Polytechnic University,"Saint Petersburg, Russia","The objective of the program is to prepare a Master of Science that possesses knowledge of state-of-art and new trends of automation and intelligence.
                                    


                    Featured
                    



                The objective of the program is to prepare a Master of Science that possesses knowledge of state-of-art and new trends of automation and intelligence.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/MSc-in-Intelligent-Systems/Russia/SPbPU/,01 Aug 2022,01 Sep 2022,2 years
MSc in Microelectronics of Telecommunications Systems,Peter the Great St. Petersburg Polytechnic University,"Saint Petersburg, Russia","Master’s students are trained to do research and development in the field of integrated circuits design as well as in micro- and nanoelectronics for up-to-date wireless teleco
                                            ...
                        
                            +
                        



                    Featured
                    



                Master’s students are trained to do research and development in the field of integrated circuits design as well as in micro- and nanoelectronics for up-to-date wireless telecommunications systems. The program covers RF, analog, and digital circuits design for receivers and transmitters and digital signal processing based on FPGA and microcontrollers.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/MSc-in-Microelectronics-of-Telecommunications-Systems/Russia/SPbPU/,01 Aug 2022,01 Sep 2022,2 years
MSc Legal Technology - Part-time,The University of Law Postgraduate Programmes,"Bristol, United Kingdom                                                        +3 More","Our MSc in Legal Technology is available for both law and non-law graduates, providing you with an insight into this rapidly developing area. You will learn the basics of this
                                            ...
                        
                            +
                        



                    Featured
                    



                Our MSc in Legal Technology is available for both law and non-law graduates, providing you with an insight into this rapidly developing area. You will learn the basics of this exciting and often disruptive technology in a legal context and the regulation which is being formed around it.
                
                    -",English,MSc,"Campus
Online",https://www.masterstudies.com/MSc-Legal-Technology-Part-time/United-Kingdom/The-University-of-Law-Postgraduate-Programmes/,None,None,24 months
Master in Computer Science,Harbour.Space University,"Barcelona, Spain                                                        +1 More","The Master Degree Programme in Computer Science is designed for those who desire to deepen their comprehension of all aspects of the computer sciences. Applicants could be gra
                                            ...
                        
                            +
                        



                    Featured
                    



                The Master Degree Programme in Computer Science is designed for those who desire to deepen their comprehension of all aspects of the computer sciences. Applicants could be graduates from other degrees with a strong mathematical core, or those continuing their academic pursuit after achieving a Bachelor of Science in Computer Science.
                
                    -",English,Master,Campus,https://www.masterstudies.com/Master-in-Computer-Science/Spain/Harbour.Space-University/,None,None,2 years
Master in Cyber Security,Harbour.Space University,"Barcelona, Spain                                                        +1 More","Our comprehensive courses will provide a solid foundation in key technology including computer and network security, cryptography, enterprise security architecture analysis, e
                                            ...
                        
                            +
                        



                    Featured
                    



                Our comprehensive courses will provide a solid foundation in key technology including computer and network security, cryptography, enterprise security architecture analysis, etc. The graduates will learn to stay current on rapidly changing technology, adapt and control to new threats and start a successful career in enterprise security.
                
                    -",English,Master,Campus,https://www.masterstudies.com/Master-in-Cyber-Security/Spain/Harbour.Space-University/,None,None,2 years
Master in Front-end Development,Harbour.Space University,"Barcelona, Spain                                                        +1 More","Our Front-end Development programme is where programming and creativity collide to build intricate, inventive, and interesting web interfaces by applying animations and motion
                                            ...
                        
                            +
                        



                    Featured
                    



                Our Front-end Development programme is where programming and creativity collide to build intricate, inventive, and interesting web interfaces by applying animations and motions, and advanced web programming, including JavaScript, Python, and CSS.
                
                    -",English,Master,Campus,https://www.masterstudies.com/Master-in-Front-end-Development/Spain/Harbour.Space-University/,None,Sep 2022,None
Master Computer Science (MSc),IU International University of Applied Sciences – Online,"Bad Honnef, Germany","This field is fast-changing, has its finger on today’s pulse, and has become the pacemaker for the digital society of the future. In IU’s Master in Computer Science, you conti
                                            ...
                        
                            +
                        



                    Featured
                    



                This field is fast-changing, has its finger on today’s pulse, and has become the pacemaker for the digital society of the future. In IU’s Master in Computer Science, you continue your journey with a focus on data science, cybersecurity and artificial intelligence. Due to the unmet demand for experts on these topics, you’ll become a sought-after specialist who can operate in almost any sector. Your Master’s degree in Computer Science will give you all the skills you need to get started in the international job market. With IU, you can study100% online,on campus,or switch between both with ournewflexible studiesoption.
                
                    -",English,MSc,Online,https://www.onlinestudies.com//Master-Computer-Science-(MSc)/Germany/IUOnline/,None,None,24 - 48 months
Master Cyber Security (MSc),IU International University of Applied Sciences – Online,"Bad Honnef, Germany","There is a huge demand for security experts to identify and defend against cyber-attacks in our increasingly digital world. With the IU Master in Cyber Security, you’ll become
                                            ...
                        
                            +
                        



                    Featured
                    



                There is a huge demand for security experts to identify and defend against cyber-attacks in our increasingly digital world. With the IU Master in Cyber Security, you’ll become a specialist in statistical and digital forensic methods and enter an exciting career field that is continually growing in importance. As a specialist in cybersecurity, you will protect companies and systems against cyberattacks, secure sensitive data, and ensure all systems run in line with local and international regulations. IU's master’s degree in Cyber Security will develop your skills and give you a well-rounded knowledge of important subjects and trends. Study 100% online with IU.
                
                    -",English,MSc,Online,https://www.onlinestudies.com//Master-Cyber-Security-(MSc)/Germany/IUOnline/,None,None,24 months
Master Data Science (MSc),IU International University of Applied Sciences – Online,"Bad Honnef, Germany","The Master Data Science at the IU deepens your knowledge of all areas of Data Science with contents like Machine Learning and Big Data Technologies. With the completion of you
                                            ...
                        
                            +
                        



                    Featured
                    



                The Master Data Science at the IU deepens your knowledge of all areas of Data Science with contents like Machine Learning and Big Data Technologies. With the completion of your studies, you are an expert in Data Science and by this, you can open doors to exciting and diverse jobs like Senior Data Scientist or Data Science Developer. With IU, you can study from the comfort of your home,100% online.
                
                    -",English,MSc,Online,https://www.onlinestudies.com//Master-Data-Science-(MSc)/Germany/IUOnline/,None,None,12 - 48 months
Master Artificial Intelligence (MSc),IU International University of Applied Sciences – Online,"Bad Honnef, Germany","Robots, self-propelled cars and autonomous systems are increasingly becoming an important part of our future. The IU Online Master Artificial Intelligence prepares you for an 
                                            ...
                        
                            +
                        



                    Featured
                    



                Robots, self-propelled cars and autonomous systems are increasingly becoming an important part of our future. The IU Online Master Artificial Intelligence prepares you for an exciting career in which innovations with artificial intelligence can make things happen, that seemed impossible only a few years ago. Graduates of the course can work as AI-specialists, AI-designers or other professions in this industry, to work on the latest technologies in a forward-looking way. With IU, you can study from the comfort of your home,100% online.
                
                    -",English,MSc,Online,https://www.onlinestudies.com//Master-Artificial-Intelligence-(MSc)/Germany/IUOnline/,None,None,12 - 48 months
M.Sc. in Data Science for Society and Business,Jacobs University,"Bremen, Germany","The 2-year M.Sc. program „Data Science for Society and Business (DSSB)“ is a program for students of social and business sciences aiming to become data science experts in thei
                                            ...
                        
                            +
                        



                    Featured
                    



                The 2-year M.Sc. program „Data Science for Society and Business (DSSB)“ is a program for students of social and business sciences aiming to become data science experts in their fields. The program also addresses students from health, environmental science, or humanities aiming to expand into big data management. The truly multidisciplinary program combines a broad course offering from multiple social and non-social science disciplines with 4 elective tracks: Society Track; Business Track; Health &amp; Environmental Track; Data Science Track.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/M.Sc.-in-Data-Science-for-Society-and-Business/Germany/Jacobs-University/,None,Sep 2022,2 years
Master Management in IT Management (MA),IU International University of Applied Sciences – Online,"Bad Honnef, Germany","IT Managers are in high demand all over the world and in many different business areas. Graduates of IT Management have great prospects for diverse careers such as technology 
                                            ...
                        
                            +
                        



                    Featured
                    



                IT Managers are in high demand all over the world and in many different business areas. Graduates of IT Management have great prospects for diverse careers such as technology management, consulting, and change or project management—but how do you put yourself ahead of the competition in the market? Companies everywhere are extremely interested in candidates with excellent technical knowledge but who also possess top communication and leadership skills. The IU Master in IT Management prepares you for these roles and can give you a head start into a rewarding career. With IU, you can study100% online,on campus,or switch between both with ournewflexible studiesoption.
                
                    -",English,MA,Online,https://www.onlinestudies.com//Master-Management-in-IT-Management-(MA)/Germany/IUOnline/,None,None,12 - 24 months
Master Management in Big Data Management (MA),IU International University of Applied Sciences – Online,"Bad Honnef, Germany","Big Data is big news for businesses and societies across the globe. With your extensive mathematical and statistical knowledge and data expertise, you are already attractive t
                                            ...
                        
                            +
                        



                    Featured
                    



                Big Data is big news for businesses and societies across the globe. With your extensive mathematical and statistical knowledge and data expertise, you are already attractive to employers. However, a Master degree in Big Data Management could be exactly the thing to set you apart from the competition. With this degree, you will gain a comprehensive understanding of big data and how to communicate your findings effectively. More importantly, you’ll learn to manage projects, staff, and operations to be a valuable asset to any company. With IU, you can study100% online,on campus,or switch between both with ournewflexible studiesoption.
                
                    -",English,MA,Online,https://www.onlinestudies.com/Master-Management-in-Big-Data-Management-(MA)/Germany/IUOnline/,None,None,12 - 24 months
MSc Data Analytics and Information Systems Management,"Arden Study Centre, Berlin","Berlin, Germany","Big Data is going to be worth $102bn by 2019 according to IDC research which means organisations will need skilled analysts to maximise the opportunities it has to offer. This
                                            ...
                        
                            +
                        



                    Featured
                    



                Big Data is going to be worth $102bn by 2019 according to IDC research which means organisations will need skilled analysts to maximise the opportunities it has to offer. This course will give you the skills you need to benefit from the opportunities big data offers. Gaining this essential knowledge will allow you to apply data handling methods to inform your business decisions and ensure your firm’s information systems are aligned with business goals and strategies. You’ll study in Germany, the most popular option for international students looking to study in Europe.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/MSc-Data-Analytics-and-Information-Systems-Management/Germany/Arden-Study-Centre-Berlin/,None,Apr 2022,12 - 24 months
MSc IT Security Management,"Arden Study Centre, Berlin","Berlin, Germany","Develop the skills to create, plan, and manage effective IT security processes for businesses with this course, which is designed, delivered, and awarded by Arden University. 
                                            ...
                        
                            +
                        



                    Featured
                    



                Develop the skills to create, plan, and manage effective IT security processes for businesses with this course, which is designed, delivered, and awarded by Arden University. You’ll learn how to keep up with the fast-paced IT world and gain practical skills that will make you an invaluable asset to any business.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/MSc-IT-Security-Management/Germany/Arden-Study-Centre-Berlin/,None,Apr 2022,12 - 24 months
MSc Data Analytics and Marketing,"Arden Study Centre, Berlin","Berlin, Germany","Learn a range of essential marketing skills, including analysing statistics and interpreting large sets of data, with this programme delivered and awarded by Arden University.
                                            ...
                        
                            +
                        



                    Featured
                    



                Learn a range of essential marketing skills, including analysing statistics and interpreting large sets of data, with this programme delivered and awarded by Arden University. This course is relevant for those wanting to strive in today’s data-driven marketing landscape by turning analysis into useful insights and strategic business plans. This course is also appropriate for those wanting to gain an advanced understanding of marketing management and build a successful career in this sector.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/MSc-Data-Analytics-and-Marketing/Germany/Arden-Study-Centre-Berlin/,None,Apr 2022,12 - 24 months
MSc Project Management,"Arden Study Centre, Berlin","Berlin, Germany","Taking this programme will enable you to manage and deliver international projects. You will also gain skills in effectively analysing data and using it for improved planning.
                                            ...
                        
                            +
                        



                    Featured
                    



                Taking this programme will enable you to manage and deliver international projects. You will also gain skills in effectively analysing data and using it for improved planning. This programme is also accredited by the Association for Project Management (APM), which is the biggest professional certification body in the UK.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/MSc-Project-Management/Germany/Arden-Study-Centre-Berlin/,None,Apr 2022,12 - 24 months
Master in Computer Science,IU International University of Applied Sciences,"Bad Honnef, Germany                                                        +1 More","This field is fast-changing, has its finger on today’s pulse, and has become the pacemaker for the digital society of the future. In IU’s Master in Computer Science, you conti
                                            ...
                        
                            +
                        



                    Featured
                    



                This field is fast-changing, has its finger on today’s pulse, and has become the pacemaker for the digital society of the future. In IU’s Master in Computer Science, you continue your journey with a focus on data science, cybersecurity and artificial intelligence. Due to the unmet demand for experts on these topics, you’ll become a sought-after specialist who can operate in almost any sector. Your Master’s degree in Computer Science will give you all the skills you need to get started in the international job market. With IU, you can study 100% online, on campus, or switch between both with their new flexible studies option.
                
                    -",English,MSc,"Online & Campus Combined
Campus
Online",https://www.masterstudies.com/Master-in-Computer-Science/Germany/IU/,None,Apr 2022,24 months
Online MS in Computer Science,Lebanese American University Online,Lebanon                                                        +1 More,"The flexible Online MS in Computer Science delivers the cutting-edge skill sets you need to succeed in the rapidly growing technology field in the Middle East and beyond. You 
                                            ...
                        
                            +
                        



                    Featured
                    



                The flexible Online MS in Computer Science delivers the cutting-edge skill sets you need to succeed in the rapidly growing technology field in the Middle East and beyond. You will gain an advanced understanding on topics such as data analytics, artificial intelligence, and machine learning and apply what you learn in a range of global contexts.
                
                    -",English,MSc,Online,https://www.onlinestudies.com/Online-MS-in-Computer-Science/Lebanon/Lebanese-American-University-Online/,None,Oct 2022,2 years
MSc Computer Science,University of Essex Online,"UK Online, United Kingdom","Are you looking for a route to break into the rapidly growing computing sector? This 100% online and part-time conversion degree takes you from computer science novice to capa
                                            ...
                        
                            +
                        



                    Featured
                    



                Are you looking for a route to break into the rapidly growing computing sector? This 100% online and part-time conversion degree takes you from computer science novice to capable programmer. Throughout the course, you will explore recent trends and key developments in computer science, as well as learning essential programming languages such as Python and SQL. This online MSc Computer Science will provide you with practical skills and technical knowledge across a range of essential computing topics and build key skills such as problem-solving, research and teamwork. When you complete this course, you will have a strong academic foundation to build your career in whichever area of computer science you want to work in.
                
                    -",English,MSc,Online,,None,None,2 years
MSc Cyber Security,University of Essex Online,"UK Online, United Kingdom","In the always-connected modern world, it has become critical for organisations to implement robust cyber defences to protect against attacks. This 100% online and part-time co
                                            ...
                        
                            +
                        



                    Featured
                    



                In the always-connected modern world, it has become critical for organisations to implement robust cyber defences to protect against attacks. This 100% online and part-time conversion degree will provide individuals that don’t have a background in IT with the skills to work professionally in cybersecurity roles. This online MSc Cyber Security will provide you with an insight into all areas of cybersecurity, from technical approaches and managerial concerns to legal ramifications and the psychological background to breaches. The course will prepare you to cope with cyber attacks in a measured and decisive way and will also help you to develop essential skills in teamwork and communication. Through this course, you will gain a strong academic foundation that will enable you to unlock a range of careers available to cybersecurity professionals.
                
                    -",English,MSc,Online,https://www.onlinestudies.com/MSc-Cyber-Security/United-Kingdom/University-of-Essex-Online/,None,None,2 years
Master in Business Analytics And Data Science,EU Business School,"Barcelona, Spain","Technology advances have dramatically changed the way businesses function, and expertise in business analytics and data science is essential to leverage technology for optimal
                                            ...
                        
                            +
                        



                    Featured
                    



                Technology advances have dramatically changed the way businesses function, and expertise in business analytics and data science is essential to leverage technology for optimal results. Applying a hands-on approach, this program gives students a comprehensive foundation in data science, using industry-leading software, tools, and applications. Students will gain practical experience with advanced web-based applications and toolsets, understand how to use data as a strategic resource, and learn how to apply data management skills to a business setting in order to effectively implement data-driven solutions.
                
                    -",English,Master,Campus,https://www.masterstudies.com/Master-in-Business-Analytics-And-Data-Science/Spain/Euruni/,None,Mar 2022,None
MSc Cyber Security,Buckinghamshire New University,"High Wycombe, United Kingdom","The MSc Cyber Security programme aims to develop the technical and managerial skills and knowledge for aspiring cybersecurity professionals wishing to specialise in industrial
                                            ...
                        
                            +
                        



                    Featured
                    



                The MSc Cyber Security programme aims to develop the technical and managerial skills and knowledge for aspiring cybersecurity professionals wishing to specialise in industrial, governmental, educational and organisational disciplines. It is also designed for IT business specialists and managers seeking to gain a deeper understanding of cybersecurity solutions in a strategic, technical, consultancy or management context. This programme is professionally structured to deliver a high-quality course, focusing on technical and management security areas, technologies, trends and policies in the security sector.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/MSc-Cyber-Security/United-Kingdom/Buckinghamshire-New-University/,None,None,None
MSc Critical Infrastructure Security,Buckinghamshire New University,"High Wycombe, United Kingdom","With the constant threat of terrorism; the growth of cyber-crime and the prevalence of activism, it is really important to ensure that our infrastructures are protected from a
                                            ...
                        
                            +
                        



                    Featured
                    



                With the constant threat of terrorism; the growth of cyber-crime and the prevalence of activism, it is really important to ensure that our infrastructures are protected from attack, disruption and damage. Maintaining that protection is challenging and requires those engaged in the analysis, planning and management of it to be highly capable and knowledgeable. The MSc Critical Infrastructure programme is designed to develop high-level capability and knowledge in professionals responsible for CI protection. Critical Infrastructure supports all societies and encompasses the ‘facilities, systems, sites, information, people, networks and processes, necessary for a country to function and upon which daily life depends. It also includes some functions, sites and organisations which are not critical to the maintenance of essential services, but which need protection due to the potential danger to the public (civil nuclear and chemical sites for example).’(UK Centre for the Protection of National Infrastructure – CPNI). Whilst different countries may identify the infrastructure sectors in different ways, all of them will be deemed fundamental to the maintenance of societal stability.
                
                    -",English,MSc,Online,https://www.onlinestudies.com/MSc-Critical-Infrastructure-Security/United-Kingdom/Buckinghamshire-New-University/,None,None,2 years
MSc Business Intelligence and Analytics,GISMA ULaw,"Berlin, Germany","The MSc Business Intelligence and Analytics course is designed for those who have a numerical background and want to develop their understanding of data management and cyberse
                                            ...
                        
                            +
                        



                    Featured
                    



                The MSc Business Intelligence and Analytics course is designed for those who have a numerical background and want to develop their understanding of data management and cybersecurity. The practical programme will allow participants to gain skills in applying correct statistical techniques for decision making and more importantly, communicate findings in a non-technical way that is easier to understand.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/MSc-Business-Intelligence-and-Analytics/Germany/GISMA-ULaw/,None,Apr 2022,None
